Teff_key,Prot_key,logRHK_key,BV
5996,13.13,-4.9733,0.556147
6091,12.06,-4.9953,0.526972
5750,39.57,-4.8585,0.633898
5560,23.59,-4.9177,0.696262
6181,16.28,-4.9546,0.499749
5543,21.07,-4.6504,0.701945
5609,24.88,-4.9815,0.679977
5829,27.73,-4.8522,0.608572
6090,9.82,-4.9823,0.527277
6249,6.4,-4.8576,0.479442
5897,19.65,-4.9876,0.587046
6008,10.61,-4.7985,0.552436
5906,15.29,-5.0378,0.584216
6360,3.14,-4.6574,0.446764
5654,24.64,-4.9797,0.665146
5957,11.43,-4.8023,0.568258
5902,17.31,-4.9935,0.585473
6271,6.02,-4.9312,0.47292
5757,18.46,-4.968,0.63164
6137,24.01,-4.9496,0.513008
6145,9.02,-5.0175,0.51059
6288,8.92,-4.8487,0.467895
6187,6.92,-5.0379,0.497948
5378,11.75,-4.6196,0.758031
6034,8.68,-4.9026,0.544422
6003,12.26,-4.9533,0.553981
5581,22.42,-4.8478,0.689265
5560,17.84,-4.8005,0.696262
5746,11.59,-4.6911,0.63519
6190,13.06,-4.99,0.497049
5440,16.65,-4.7269,0.736757
5919,10.11,-4.6498,0.580135
6390,3.57,-4.6232,0.44
5133,8.62,-4.522,0.844567
6161,9.19,-5.0277,0.505764
5176,7.87,-4.5025,0.829084
6012,19.03,-4.781,0.551201
6243,6.09,-4.8627,0.481225
6449,3.03,-4.735,0.44
6243,11.72,-4.9532,0.481225
5961,13.28,-4.8778,0.567012
5792,21.75,-4.9484,0.620391
6178,8.18,-5.0019,0.50065
5970,15.73,-4.839,0.564212
5804,31.83,-4.9213,0.61655
6097,4.98,-4.5292,0.525144
6246,15.84,-5.0105,0.480333
5881,9.68,-4.6953,0.592089
5951,5.01,-4.5818,0.570128
5409,28.54,-5.0364,0.747363
6211,6.74,-4.9548,0.490763
6208,7.11,-4.731,0.491659
5574,23.2,-4.7217,0.691594
6197,7.53,-4.9746,0.494951
5524,22.55,-4.9998,0.708318
5867,20.64,-4.7499,0.596512
6307,5.24,-4.4983,0.462296
5881,17.97,-4.4957,0.592089
5786,18.44,-4.8332,0.622314
5348,25.56,-4.9458,0.768413
6252,5.05,-4.6794,0.478551
5328,26.08,-4.8723,0.775367
5968,13.02,-4.9324,0.564834
5932,20.04,-4.6279,0.576063
6461,7.72,-4.6865,0.44
6313,6.06,-4.6816,0.460531
6079,10.03,-4.9324,0.530632
5885,15.19,-4.7648,0.590827
6246,10.9,-4.9836,0.480333
5851,20.69,-4.786,0.601581
6304,4.72,-4.8601,0.463179
5890,14.2,-4.9378,0.589251
5647,15.73,-4.7975,0.667445
5812,18.33,-4.9526,0.613993
5823,20.6,-4.8413,0.610484
6245,10.66,-4.8454,0.480631
6114,10.11,-4.8341,0.519977
5924,20.06,-4.83,0.578568
6026,12.37,-4.7863,0.546884
5623,30.17,-5.0064,0.67535
6003,16.88,-4.9191,0.553981
6019,3.82,-4.9443,0.549041
5589,22.13,-4.9692,0.686606
5753,10.83,-4.601,0.63293
5841,16.96,-4.8991,0.604756
5880,11.92,-4.7493,0.592405
6165,8.88,-5.0122,0.504559
5694,32.79,-4.902,0.652062
5964,12.39,-5.0251,0.566078
6026,11.26,-4.8445,0.546884
5767,18.33,-5.061,0.628419
6229,7.51,-4.838,0.485392
6031,9.89,-4.8125,0.545345
5237,6.57,-4.5173,0.807339
5740,28.96,-4.9599,0.637129
5771,24.93,-4.9097,0.627132
5783,16.76,-4.8083,0.623277
5663,13.06,-4.6805,0.662194
5976,13.98,-4.8252,0.562348
6278,4.64,-4.5902,0.470849
6027,6.34,-4.574,0.546576
6006,5.68,-4.5512,0.553054
5586,21.49,-5.1637,0.687603
6281,4.74,-5.006,0.469962
6451,4.19,-4.5967,0.44
5318,32.73,-5.0336,0.778853
5416,21.63,-4.7695,0.744963
6155,12.54,-4.7483,0.507572
5710,11.2,-4.7384,0.646854
6099,9.47,-5.0534,0.524536
6267,5.72,-4.8127,0.474104
6075,11.15,-4.8937,0.531853
5661,12.0,-4.6909,0.66285
6361,4.82,-4.8266,0.446473
5907,17.37,-4.891,0.583902
5688,8.03,-4.5919,0.654019
6237,6.28,-4.9879,0.48301
5883,15.22,-4.9068,0.591458
6075,19.02,-4.9502,0.531853
5703,19.52,-4.914,0.649131
5650,14.29,-4.7388,0.66646
5501,9.83,-4.5657,0.716061
5728,21.32,-4.9856,0.641013
6063,10.17,-5.0051,0.535523
5800,14.14,-4.6469,0.617829
5654,19.93,-4.8892,0.665146
5618,9.63,-4.6674,0.677001
5348,33.06,-4.8405,0.768413
6243,5.96,-4.7826,0.481225
6455,5.96,-4.6149,0.44
5787,18.32,-4.9309,0.621994
5311,34.65,-4.9809,0.781298
6179,7.78,-4.7935,0.50035
5485,14.9,-4.6902,0.721467
5644,19.95,-4.8238,0.668432
5679,24.78,-4.8759,0.656958
6418,3.92,-4.6506,0.44
5837,18.82,-4.8629,0.606027
5852,11.84,-4.8668,0.601264
5939,18.83,-5.0072,0.573875
6012,10.74,-4.9631,0.551201
5771,18.36,-4.8247,0.627132
5483,27.19,-4.9452,0.722144
6428,3.84,-4.9437,0.44
5760,20.62,-5.0137,0.630673
6036,8.79,-4.6822,0.543807
6307,2.78,-4.722,0.462296
6005,11.76,-4.9866,0.553363
5089,20.84,-5.1964,0.860545
6123,8.05,-4.908,0.517247
6302,5.58,-4.7867,0.463768
5827,9.55,-4.5796,0.609209
5940,11.68,-4.6951,0.573562
5799,17.26,-4.8548,0.618149
6080,9.79,-5.0235,0.530327
5567,29.57,-4.8821,0.693926
5957,5.53,-4.7506,0.568258
