source,Gaia_id,KIC_id,logRHK,e_logRHK,Prot,Teff,BV,FeH_native,e_FeH_native,Mass,Age,tau_conv,tau_Noyes1984,Ro,log_Ro,F_Ca,F_bas,delta_F,log_dF,epsilon,log_epsilon,dTeff
Ye2024,2052733748878002688,3443669,-4.9958,0.0118,10.55,6119,0.51846,-0.02,0.02,1.14,3.26,11.843039123414078,,0.8908186395451742,-0.0502107043379062,802663.5645377513,685641.6557774318,117021.90876031946,5.06826717766902,0.17067502794536493,-0.767830017367354,0.347
Ye2024,2052795703786493440,4263194,-4.8543,0.011,21.48,5728,0.641013,-0.07,0.02,0.96,6.6,15.354869714245666,,1.3989047383496631,0.145788141212561,853736.3516005755,430448.5166604475,423287.83494012797,5.626635787268501,0.983364603563106,-0.007285428295081146,-0.044
Ye2024,2052798177683350656,2708367,-4.8411,0.0115,10.07,6085,0.528801,0.07,0.02,1.14,3.04,11.843039123414078,,0.8502885023905121,-0.0704336934179997,1120866.958226983,659230.2189409221,461636.7392860609,5.664300364779984,0.7002663500888924,-0.15473674231090848,0.313
Ye2024,2052822916695702784,3337693,-4.9853,0.0101,15.89,6051,0.5392,-0.17,0.02,1.1,6.21,12.514101920504952,,1.2697675071643357,0.10372420946082336,786358.0704720998,633696.6746806252,152661.3957914746,5.183729228841885,0.24090610206912313,-0.6181521993317309,0.279
Ye2024,2052829685564350592,3439745,-4.7692,0.0137,11.92,5970,0.564212,-0.06,0.03,1.04,4.94,13.628989336448337,,0.8746063046745554,-0.05818739633085915,1225487.9947854301,576260.7424817974,649227.2523036328,5.812396741709764,1.1266206500682117,0.05177770724771174,0.198
Ye2024,2052847209030489984,3643461,-4.6468,0.01,18.22,6243,0.481225,-0.13,0.03,1.2,3.42,10.930356368792774,,1.6669172884444887,0.22191405089979402,1942607.5681086697,789810.6967246366,1152796.871384033,6.061752789160466,1.459586298545599,0.16422977789487875,0.471
Ye2024,2052863220669445760,3744244,-4.759,0.0069,15.69,5933,0.575751,-0.11,0.02,1.0,6.37,14.454397707459272,,1.0854827933718116,0.035622943586936795,1223796.2835105034,551549.0689127453,672247.214597758,5.827529011434827,1.2188348281014088,0.0859448556557786,0.161
Ye2024,2052865797649964672,3847938,-4.5196,0.0046,2.74,6100,0.524231,0.09,0.01,1.28,3.38,9.863939442164517,,0.27777948314317125,-0.5562998345046637,2373182.1694305907,670772.6351721669,1702409.5342584238,6.231064042866028,2.537982984087398,0.40448870604012005,0.328
Ye2024,2052869267982680192,3337168,-5.044,0.0112,19.94,5798,0.618469,0.28,0.02,1.24,4.5,10.377405303719263,,1.9214822411198977,0.2836363749469853,579061.3529297644,468933.63864450395,110127.71428526047,5.041896625479891,0.23484711952760484,-0.6292147622039098,0.026
Ye2024,2052881603129014528,3641130,-4.7733,0.0087,14.59,5720,0.643607,-0.01,0.02,1.0,3.55,14.454397707459272,,1.0093813865707286,0.004055291893451738,1023047.6257066823,426228.02627063094,596819.5994360514,5.77584307684256,1.4002354670528032,0.14620107385173928,-0.052
