angDist,_RAJ2000,_DEJ2000,Gaia,RAJ2000,DEJ2000,SNR-G,Teff,e_Teff,logg,e_logg,FeH,e_FeH,a/Fe,e_a/Fe,GMag,e_GMag,LFlame,e_LFlame,KIC,Prot,e_Prot,Sph,e_Sph,S-index,e_S-index,SNR,logRHK,e_logRHK,Mass,e_Mass,Age,e_Age,DR7,Simbad,_RAJ2000,_DEJ2000,KOI,Svalue,logRHK,S/N,Prot,logAge,Qual,f_Qual,Protph,q_Protph,Simbad,_RA,_DE
0.072717,297.31762,48.23936,2086715598842386688,297.31762,48.23936,157.49,5924,8,4.29,0.02,0.02,0.02,0.01,0.01,4.18,0.03,2.0,0.02,10876237,13.5,2.41,65.9,5.9,0.173,0.005,157.49,-4.9712,0.0118,1.08,0.01,5.09,0.21,DR7,Simbad,297.3176267,48.2393403,K02960,0.145,-5.092,10.7,25.372,9.8861,1.0,ok,,0,Simbad,297.31763,48.23934
0.054903,288.34488,49.02194,2132552456193741568,288.34488,49.02194,171.62,5986,8,4.2,0.02,-0.02,0.02,0.01,0.01,3.8,0.01,2.0,0.02,11290515,14.2,2.39,37.5,3.8,0.16,0.005,171.65,-5.1492,0.0128,1.1,0.02,5.98,0.37,DR7,Simbad,288.3448758,49.021925,K04716,0.14,-5.126,10.2,20.937,9.9338,1.0,ok,14.87,2,Simbad,288.34488,49.02192
0.108837,287.86142,49.26447,2132749406213494400,287.86142,49.26447,110.03,5735,11,4.44,0.02,-0.01,0.03,0.01,0.01,4.71,0.1,0.9,0.01,11395587,18.21,3.83,438.8,18.6,0.175,0.006,109.98,-4.9596,0.0144,1.0,0.02,3.83,0.74,DR7,Simbad,287.8614581,49.2644528,K00350,0.168,-4.949,11.8,26.047,9.6882,1.0,ok,20.78,2,Simbad,287.86146,49.26445
0.022285,294.46853,49.33103,2135002576119495936,294.46853,49.33103,195.13,6369,7,4.24,0.02,0.1,0.02,0.03,0.01,3.41,0.02,3.0,0.04,11460462,4.23,0.29,60.9,7.5,0.179,0.004,194.48,-4.9158,0.0093,1.36,0.01,1.61,0.12,DR7,Simbad,294.4685244,49.331025,K02110,0.103,-5.879,10.5,0.0,10.5557,0.0,bad_seeing,4.39,3,Simbad,294.46852,49.33102
0.073363,284.739,49.59839,2132215421518219392,284.739,49.59839,127.75,5906,11,4.34,0.02,-0.33,0.03,0.06,0.02,4.6,0.01,1.0,0.008,11547513,15.74,3.13,204.0,9.9,0.209,0.007,127.88,-4.6912,0.0139,0.94,0.02,6.32,0.8,DR7,Simbad,284.73903,49.5983839,K00295,0.158,-5.001,42.3,22.411,9.7549,1.0,ok,15.75,2,Simbad,284.73903,49.59838
0.723285,287.88742,46.2764,2130368310704421120,287.88742,46.2764,116.5,5923,12,4.35,0.03,-0.18,0.03,0.04,0.02,4.49,0.01,1.0,0.01,,,,,,0.177,0.006,116.24,-4.9275,0.0143,0.98,0.01,5.49,0.4,DR7,Simbad,287.8872975,46.2762178,K00115,0.147,-5.077,30.5,24.008,9.8643,1.0,ok,16.34,2,Simbad,287.8873,46.27622
0.170503,281.32746,47.58486,2119610066163204096,281.32746,47.58486,201.22,5315,6,4.45,0.01,0.01,0.02,0.03,0.01,5.46,0.02,0.5,0.006,10384298,22.11,1.84,2066.0,57.8,,,,,,0.9,0.01,2.9,1.05,DR7,Simbad,281.3274658,47.5849072,K03224,0.287,-4.649,6.8,22.639,9.1994,0.0,bad_seeing,22.7,3,Simbad,281.32747,47.58491
0.426798,290.54346,47.72584,2129370018566111232,290.54346,47.72584,173.32,5818,7,4.22,0.02,0.01,0.02,0.02,0.01,4.33,0.01,1.0,0.01,10531955,19.49,3.46,92.6,4.8,,,,,,1.04,0.03,6.25,0.07,DR7,Simbad,290.5436247,47.7258822,K02208,0.135,-5.188,8.2,32.224,10.018,1.0,ok,22.18,2,Simbad,290.54362,47.72588
0.024095,298.39526,47.81501,2086450032420061184,298.39526,47.81501,74.02,5553,18,4.46,0.03,0.19,0.04,0.01,0.01,4.87,0.02,0.9,0.02,10619192,12.02,1.0,6396.3,278.4,,,,,,1.0,0.04,6.63,1.09,DR7,Simbad,298.3952681,47.8150139,K00203,0.319,-4.501,8.4,10.269,8.9009,1.0,ok,12.27,3,Simbad,298.39527,47.81501
0.209750,288.3724,47.93356,2130979978467082240,288.3724,47.93356,67.91,5139,15,4.57,0.03,0.06,0.04,-0.02,0.01,5.72,0.02,0.4,0.006,10657406,17.84,1.4,5608.6,173.6,,,,,,0.86,0.04,3.32,2.17,DR7,Simbad,288.3724869,47.9335578,K01837,0.435,-4.467,7.9,13.28,8.8543,1.0,ok,17.89,3,Simbad,288.37249,47.93356
